time,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-09-30T05:00,6.0,81,7.9
2024-09-30T06:00,6.1,79,8.0
2024-09-29T05:00,6.2,93,8.6
2024-09-29T04:00,6.3,93,9.4
2024-09-29T06:00,6.3,92,8.4
2024-09-30T04:00,6.3,80,7.3
2024-09-29T03:00,6.5,92,9.8
2024-09-29T02:00,6.6,92,9.8
2024-09-30T03:00,6.6,81,7.8
2024-09-29T01:00,6.8,91,9.4
2024-09-30T02:00,6.8,81,8.0
2024-09-29T00:00,7.0,90,9.7
2024-09-30T01:00,7.0,83,7.0
2024-09-30T07:00,7.1,75,9.8
2024-09-30T00:00,7.3,81,6.6
2024-09-28T23:00,7.4,87,9.4
2024-09-29T07:00,7.4,87,9.1
2024-09-28T22:00,7.7,85,9.7
2024-09-29T23:00,7.8,80,5.5
2024-09-28T21:00,8.1,82,10.9
2024-10-01T04:00,8.2,77,11.8
2024-10-01T05:00,8.2,77,11.9
2024-10-01T06:00,8.2,80,11.3
2024-09-29T22:00,8.3,80,5.9
2024-10-01T03:00,8.3,73,12.3
2024-10-01T00:00,8.4,70,12.6
2024-10-01T02:00,8.4,71,12.9
2024-10-02T08:00,8.4,89,11.9
2024-10-02T09:00,8.4,88,12.1
2024-10-01T01:00,8.5,69,12.6
2024-10-01T07:00,8.5,80,11.1
2024-10-02T07:00,8.5,89,11.4
2024-10-02T10:00,8.5,88,11.8
2024-09-30T23:00,8.6,69,12.6
2024-10-02T06:00,8.6,90,11.0
2024-09-29T21:00,8.7,79,5.2
2024-09-30T08:00,8.7,69,9.9
2024-10-02T11:00,8.7,87,11.3
2024-10-02T12:00,8.8,87,10.5
2024-09-28T20:00,8.9,79,11.2
2024-10-03T02:00,8.9,91,8.4
2024-10-03T03:00,8.9,91,8.2
2024-10-03T04:00,8.9,91,8.4
2024-10-04T05:00,8.9,87,11.3
2024-09-30T22:00,9.0,67,13.5
2024-10-01T08:00,9.0,80,10.4
2024-10-02T05:00,9.0,90,11.0
2024-10-02T13:00,9.0,87,9.7
2024-10-03T01:00,9.0,90,8.9
2024-10-03T05:00,9.0,90,8.4
2024-10-04T06:00,9.0,86,11.3
2024-09-29T08:00,9.1,79,8.8
2024-09-30T21:00,9.1,67,13.9
2024-10-02T14:00,9.1,87,8.9
2024-10-02T17:00,9.1,89,8.1
2024-10-02T18:00,9.1,90,8.6
2024-10-03T00:00,9.1,90,8.9
2024-10-02T15:00,9.2,87,8.2
2024-10-02T16:00,9.2,88,7.9
2024-10-02T19:00,9.2,90,8.9
2024-10-02T23:00,9.2,90,9.3
2024-10-03T06:00,9.2,89,8.9
2024-10-04T04:00,9.2,87,11.2
2024-09-29T20:00,9.3,80,4.5
2024-10-02T20:00,9.3,89,9.3
2024-10-02T21:00,9.3,89,9.7
2024-10-02T22:00,9.3,89,9.5
2024-10-02T04:00,9.4,91,11.1
2024-10-03T07:00,9.4,88,9.4
2024-10-04T03:00,9.4,86,11.5
2024-10-04T07:00,9.4,84,11.8
2024-09-30T20:00,9.5,65,13.4
2024-10-01T09:00,9.5,80,10.2
2024-09-28T19:00,9.6,82,9.7
2024-10-03T08:00,9.7,87,10.2
2024-10-02T03:00,9.8,91,10.6
2024-10-04T02:00,9.8,85,11.7
2024-10-01T10:00,10.0,81,9.9
